Temps [s];RSSI [dB];Tension [V];Courant [A];Capacite [Ah];Energie [Wh];Element 1 [V];Element 2 [V];Element 3 [V];Element 4 [V];Element 5 [V];Element 6 [V];Element 7 [V];Element 8 [V];Element 9 [V];Element 10 [V];Element 11 [V];Element 12 [V];BM2 Tension 1 [V];Temp. 1 Mot   [*C];Temp. 2 Amb   [*C];Temp. 3 Bat   [*C];Temp. 4 Reg   [*C]
293.0;-1;50.2;0.5;0.02;1.13;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.18;4.20;4.19;4.20;8.09;21;21;21;27
294.0;0;50.2;0.3;0.02;1.13;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.19;4.20;8.09;21;21;21;27
295.0;-1;50.2;0.3;0.02;1.22;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.18;4.20;8.09;21;21;21;27
296.0;0;50.2;0.5;0.02;1.22;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.18;4.20;8.09;21;21;21;27
297.0;-1;50.2;0.5;0.02;1.22;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.18;4.20;4.19;4.20;8.09;21;21;21;27
298.0;0;50.2;0.3;0.02;1.22;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.18;4.20;8.09;21;21;21;27
299.0;-1;50.2;0.3;0.02;1.22;4.17;4.18;4.20;4.20;4.20;4.21;4.18;4.19;4.19;4.20;4.18;4.20;8.09;21;21;21;27
300.0;-1;50.2;0.3;0.02;1.22;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.18;4.20;4.19;4.20;8.10;21;21;21;27
301.0;-1;50.2;0.3;0.02;1.22;4.17;4.18;4.20;4.20;4.20;4.21;4.18;4.19;4.19;4.20;4.18;4.20;8.10;21;21;21;27
302.0;-2;50.2;0.3;0.02;1.22;4.17;4.18;4.20;4.20;4.20;4.21;4.18;4.19;4.19;4.20;4.18;4.20;8.10;21;21;21;27
303.0;-11;50.2;0.3;0.02;1.22;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.18;4.20;8.10;21;21;21;27
304.0;-8;50.2;0.5;0.02;1.22;4.17;4.18;4.20;4.20;4.19;4.21;4.18;4.19;4.19;4.20;4.18;4.20;8.10;21;21;21;27
305.0;-18;50.2;0.3;0.02;1.22;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.19;4.20;8.10;21;21;21;27
306.0;-9;50.2;0.3;0.02;1.22;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.19;4.20;8.10;21;21;21;27
307.0;0;50.2;0.3;0.02;1.22;4.17;4.18;4.20;4.20;4.20;4.21;4.18;4.19;4.19;4.20;4.19;4.20;8.10;21;21;21;27
308.0;-1;50.2;0.3;0.02;1.22;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.18;4.20;8.10;21;21;21;27
309.0;-1;50.2;0.3;0.02;1.29;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.18;4.19;8.10;21;21;21;27
310.0;-1;50.2;1.0;0.02;1.29;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.18;4.20;8.10;21;21;21;27
311.0;-1;50.2;0.8;0.02;1.29;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.18;4.20;4.19;4.20;8.10;21;21;21;27
312.0;-1;50.2;0.8;0.02;1.29;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.18;4.20;4.19;4.20;8.11;21;21;21;27
313.0;-1;50.2;0.8;0.02;1.29;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.19;4.20;8.11;21;21;21;27
314.0;-1;50.2;0.5;0.02;1.29;4.17;4.18;4.20;4.20;4.20;4.21;4.18;4.19;4.18;4.20;4.19;4.20;8.11;23;21;21;27
315.0;-1;50.2;0.5;0.02;1.29;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.19;4.20;8.11;23;21;21;27
316.0;-1;50.2;0.5;0.02;1.29;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.18;4.20;8.11;23;21;21;27
317.0;-2;50.2;0.5;0.02;1.29;4.17;4.18;4.20;4.20;4.19;4.20;4.18;4.19;4.19;4.20;4.19;4.20;8.11;23;21;21;27
318.0;-1;50.2;0.6;0.02;1.29;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.19;4.20;8.11;23;21;21;27
319.0;-1;50.2;0.6;0.02;1.29;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.18;4.20;8.11;23;21;21;27
320.0;-1;50.2;0.5;0.02;1.29;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.18;4.20;8.11;23;21;21;27
321.0;-1;50.2;0.3;0.02;1.29;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.18;4.20;4.19;4.20;8.11;23;21;21;27
322.0;-1;50.2;0.3;0.02;1.41;4.17;4.18;4.20;4.20;4.20;4.21;4.18;4.19;4.19;4.20;4.18;4.20;8.11;23;21;21;27
323.0;-1;50.2;0.3;0.02;1.41;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.18;4.20;8.11;23;21;21;27
324.0;-1;50.2;0.3;0.02;1.41;4.17;4.18;4.20;4.20;4.20;4.20;4.18;4.19;4.19;4.20;4.19;4.20;8.11;23;21;21;27
325.0;-1;50.1;0.5;0.02;1.41;4.17;4.18;4.20;4.20;4.19;4.21;4.18;4.19;4.19;4.20;4.18;4.20;8.11;23;21;21;27
326.0;-1;50.1;0.5;0.02;1.41;4.16;4.17;4.19;4.20;4.20;4.20;4.17;4.18;4.18;4.19;4.17;4.18;8.11;23;21;21;27
327.0;-5;50.0;7.6;0.02;1.41;4.15;4.16;4.19;4.19;4.19;4.20;4.17;4.18;4.17;4.18;4.17;4.18;8.11;23;21;21;27
328.0;-16;50.0;6.3;0.02;1.41;4.16;4.17;4.19;4.19;4.19;4.19;4.17;4.18;4.17;4.19;4.17;4.18;8.11;23;21;21;27
329.0;-32;50.0;6.3;0.02;1.41;4.16;4.17;4.19;4.19;4.19;4.19;4.17;4.18;4.17;4.18;4.18;4.18;8.11;23;21;21;27
330.0;-15;50.0;9.1;0.02;1.41;4.16;4.17;4.19;4.19;4.19;4.20;4.17;4.18;4.18;4.19;4.18;4.19;8.11;23;21;21;27
331.0;-13;49.9;8.8;0.02;1.41;4.14;4.15;4.17;4.18;4.18;4.19;4.15;4.17;4.16;4.17;4.17;4.18;8.11;23;21;21;27
332.0;-22;49.9;8.8;0.04;1.41;4.15;4.16;4.18;4.18;4.17;4.18;4.16;4.17;4.17;4.18;4.16;4.18;8.11;23;21;21;27
333.0;-24;50.0;0.5;0.04;1.41;4.16;4.17;4.19;4.19;4.19;4.20;4.17;4.18;4.18;4.19;4.17;4.19;8.11;23;21;21;27
334.0;-24;50.0;0.5;0.04;1.41;4.15;4.16;4.18;4.19;4.18;4.19;4.16;4.17;4.17;4.18;4.17;4.18;8.10;23;21;21;27
335.0;-17;50.0;3.7;0.04;2.33;4.15;4.16;4.18;4.19;4.18;4.19;4.16;4.17;4.17;4.18;4.17;4.18;8.10;23;21;21;27
336.0;-6;50.0;3.7;0.04;2.33;4.15;4.16;4.19;4.19;4.18;4.19;4.16;4.18;4.17;4.18;4.17;4.18;8.10;24;20;21;28
337.0;-8;49.9;4.0;0.04;2.33;4.14;4.15;4.18;4.18;4.17;4.18;4.15;4.17;4.16;4.17;4.16;4.17;8.10;24;20;21;28
338.0;-16;49.9;1.9;0.04;2.33;4.15;4.16;4.18;4.18;4.18;4.18;4.16;4.17;4.16;4.18;4.16;4.17;8.10;23;20;21;28
339.0;-15;49.9;1.9;0.04;2.33;4.13;4.14;4.16;4.17;4.18;4.19;4.17;4.18;4.17;4.19;4.17;4.19;8.10;23;20;21;28
340.0;-26;49.8;2.3;0.04;2.33;4.15;4.16;4.18;4.19;4.16;4.16;4.16;4.17;4.17;4.18;4.14;4.15;8.10;23;20;21;28
341.0;-22;49.9;27.8;0.04;2.33;4.15;4.16;4.18;4.19;4.18;4.18;4.16;4.17;4.17;4.18;4.16;4.18;8.10;23;20;21;28
342.0;-17;49.9;27.8;0.04;2.33;4.15;4.16;4.18;4.18;4.18;4.19;4.16;4.17;4.17;4.18;4.17;4.18;8.10;23;19;21;28
343.0;-21;50.0;0.8;0.04;2.33;4.15;4.17;4.19;4.19;4.18;4.19;4.17;4.18;4.17;4.19;4.17;4.18;8.10;23;19;21;28
344.0;-22;50.0;0.8;0.04;2.33;4.16;4.17;4.19;4.19;4.18;4.19;4.17;4.18;4.17;4.19;4.17;4.18;8.10;23;19;21;28
345.0;-20;50.0;0.7;0.06;2.33;4.16;4.17;4.19;4.19;4.19;4.19;4.17;4.18;4.17;4.19;4.18;4.18;8.10;23;19;21;28
346.0;-23;50.0;0.7;0.06;2.33;4.16;4.17;4.19;4.19;4.19;4.19;4.17;4.18;4.18;4.19;4.18;4.19;8.07;23;19;21;28
347.0;-26;50.0;0.8;0.06;2.33;4.16;4.17;4.19;4.19;4.19;4.19;4.17;4.18;4.18;4.19;4.17;4.19;8.07;23;19;21;28
348.0;-24;49.7;17.5;0.06;2.33;4.13;4.14;4.16;4.17;4.19;4.19;4.17;4.18;4.18;4.19;4.18;4.19;8.07;23;19;21;28
349.0;-21;49.7;17.5;0.06;3.40;4.13;4.14;4.17;4.17;4.16;4.17;4.15;4.16;4.15;4.16;4.15;4.16;8.07;23;19;21;28
350.0;-30;49.7;15.3;0.06;3.40;4.12;4.13;4.15;4.15;4.14;4.15;4.13;4.14;4.13;4.14;4.13;4.14;8.07;23;19;21;28
351.0;-40;49.3;27.9;0.06;3.40;4.11;4.12;4.14;4.14;4.13;4.14;4.12;4.13;4.12;4.13;4.11;4.13;8.07;23;19;21;28
352.0;-44;49.3;27.9;0.06;3.40;4.10;4.11;4.13;4.13;4.13;4.13;4.11;4.12;4.11;4.12;4.10;4.12;8.07;23;19;21;28
353.0;-42;49.0;37.2;0.06;3.40;4.08;4.09;4.11;4.11;4.10;4.12;4.08;4.10;4.09;4.10;4.08;4.10;8.07;23;19;21;28
354.0;-35;49.0;37.2;0.06;3.40;4.06;4.08;4.10;4.10;4.08;4.10;4.07;4.09;4.08;4.08;4.06;4.08;8.07;23;19;21;28
355.0;-32;48.8;37.4;0.06;3.40;4.06;4.08;4.10;4.10;4.09;4.10;4.07;4.09;4.08;4.08;4.06;4.08;8.07;23;19;21;28
356.0;-39;48.8;37.4;0.06;3.40;4.06;4.07;4.09;4.09;4.09;4.09;4.07;4.09;4.07;4.08;4.06;4.08;8.07;26;19;21;29
357.0;-38;48.8;35.8;0.06;3.40;4.06;4.07;4.09;4.09;4.09;4.10;4.07;4.09;4.07;4.08;4.06;4.08;8.10;26;19;21;29
358.0;-36;48.4;48.8;0.06;3.40;4.04;4.05;4.07;4.07;4.06;4.07;4.04;4.06;4.05;4.06;4.03;4.05;8.10;26;19;21;29
359.0;-37;48.4;48.8;0.16;3.40;4.04;4.05;4.07;4.07;4.06;4.07;4.04;4.06;4.05;4.06;4.04;4.05;8.10;26;18;21;29
360.0;-54;48.5;33.2;0.16;3.40;4.05;4.06;4.08;4.08;4.07;4.08;4.05;4.07;4.06;4.07;4.05;4.06;8.10;26;18;21;29
361.0;-44;49.0;17.0;0.16;3.40;4.08;4.09;4.11;4.11;4.10;4.11;4.08;4.10;4.09;4.10;4.08;4.10;8.10;26;18;21;29
362.0;-41;49.0;17.0;0.16;9.26;4.08;4.10;4.12;4.12;4.11;4.11;4.10;4.11;4.10;4.11;4.10;4.11;8.10;26;18;21;29
363.0;-33;49.1;15.0;0.16;9.26;4.09;4.10;4.12;4.12;4.12;4.12;4.10;4.11;4.10;4.11;4.10;4.11;8.10;26;18;21;29
364.0;-30;49.2;12.4;0.16;9.26;4.09;4.10;4.13;4.12;4.12;4.12;4.10;4.11;4.11;4.12;4.10;4.11;8.10;26;18;21;29
365.0;-23;49.2;12.0;0.16;9.26;4.09;4.11;4.13;4.13;4.12;4.13;4.11;4.12;4.11;4.12;4.11;4.12;8.10;26;18;21;29
366.0;-23;49.2;12.0;0.16;9.26;4.08;4.09;4.11;4.11;4.12;4.13;4.11;4.12;4.11;4.13;4.11;4.12;8.10;26;18;21;29
367.0;-34;49.1;23.1;0.16;9.26;4.08;4.09;4.12;4.12;4.10;4.11;4.09;4.11;4.10;4.11;4.08;4.09;8.10;26;18;21;29
368.0;-47;49.0;20.7;0.16;9.26;4.08;4.09;4.11;4.11;4.11;4.12;4.09;4.10;4.10;4.10;4.09;4.11;8.10;26;18;21;29
369.0;-45;49.0;20.7;0.16;9.26;4.08;4.09;4.11;4.11;4.11;4.12;4.09;4.10;4.10;4.10;4.09;4.10;8.11;26;18;21;29
370.0;-37;49.0;20.3;0.16;9.26;4.08;4.09;4.11;4.11;4.10;4.11;4.09;4.10;4.09;4.10;4.09;4.10;8.11;26;18;21;29
371.0;-38;49.1;16.9;0.16;9.26;4.08;4.09;4.11;4.11;4.10;4.11;4.09;4.11;4.10;4.11;4.09;4.10;8.11;26;18;21;29
372.0;-47;49.1;16.9;0.23;9.26;4.07;4.09;4.11;4.11;4.10;4.11;4.08;4.10;4.09;4.10;4.09;4.09;8.11;26;18;21;29
373.0;-34;49.0;21.3;0.23;9.26;4.07;4.08;4.11;4.11;4.10;4.11;4.08;4.10;4.09;4.10;4.08;4.09;8.11;26;18;21;29
374.0;-35;49.0;21.3;0.23;9.26;4.07;4.08;4.10;4.10;4.10;4.10;4.08;4.10;4.08;4.10;4.08;4.09;8.11;26;18;21;29
375.0;-33;48.9;22.1;0.23;12.71;4.07;4.08;4.10;4.10;4.10;4.10;4.08;4.10;4.08;4.10;4.07;4.09;8.11;26;18;21;29
376.0;-43;48.9;22.1;0.23;12.71;4.07;4.08;4.10;4.11;4.09;4.10;4.08;4.10;4.09;4.10;4.08;4.09;8.11;26;18;21;29
377.0;-41;49.0;18.0;0.23;12.71;4.07;4.09;4.11;4.11;4.10;4.11;4.08;4.10;4.09;4.10;4.08;4.10;8.11;26;18;21;29
378.0;-35;49.0;17.3;0.23;12.71;4.07;4.08;4.11;4.11;4.10;4.11;4.08;4.10;4.09;4.10;4.09;4.09;8.11;28;17;21;32
379.0;-44;49.0;17.3;0.23;12.71;4.07;4.08;4.11;4.11;4.10;4.11;4.08;4.10;4.09;4.10;4.08;4.09;8.11;28;17;21;32
380.0;-26;48.9;17.9;0.23;12.71;4.07;4.08;4.11;4.10;4.10;4.10;4.08;4.10;4.09;4.10;4.08;4.09;8.10;28;17;21;32
381.0;-25;48.9;17.4;0.23;12.71;4.07;4.08;4.11;4.10;4.10;4.10;4.08;4.10;4.09;4.10;4.08;4.09;8.10;28;17;21;32
382.0;-31;48.9;17.4;0.23;12.71;4.07;4.08;4.11;4.10;4.10;4.10;4.08;4.10;4.09;4.10;4.08;4.09;8.10;28;17;21;32
383.0;-30;48.9;18.7;0.23;12.71;4.07;4.08;4.10;4.10;4.10;4.10;4.08;4.10;4.09;4.10;4.08;4.09;8.10;28;17;21;32
384.0;-45;48.9;3.0;0.23;12.71;4.06;4.08;4.10;4.10;4.10;4.10;4.08;4.09;4.08;4.09;4.08;4.09;8.10;28;17;21;33
385.0;-58;49.0;35.9;0.23;12.71;4.04;4.05;4.07;4.08;4.09;4.09;4.08;4.09;4.08;4.09;4.08;4.09;8.10;28;17;21;33
386.0;-44;48.4;37.2;0.23;12.71;4.04;4.05;4.07;4.08;4.05;4.06;4.08;4.09;4.08;4.09;4.04;4.04;8.10;28;17;21;33
387.0;-44;48.4;37.2;0.23;12.71;4.03;4.04;4.06;4.06;4.05;4.06;4.03;4.05;4.04;4.04;4.03;4.04;8.10;28;17;21;33
388.0;-47;48.2;40.9;0.23;12.71;4.02;4.03;4.05;4.05;4.04;4.05;4.03;4.04;4.03;4.04;4.02;4.03;8.10;28;17;21;33
389.0;-38;48.2;40.9;0.23;17.01;4.01;4.02;4.04;4.05;4.04;4.04;4.02;4.04;4.02;4.03;4.01;4.02;8.10;28;17;21;33
390.0;-39;48.1;40.6;0.23;17.01;4.01;4.02;4.04;4.05;4.04;4.04;4.02;4.04;4.02;4.03;4.01;4.02;8.10;28;17;21;33
391.0;-42;48.2;29.1;0.23;17.01;4.01;4.02;4.04;4.05;4.04;4.04;4.02;4.04;4.02;4.03;4.02;4.02;8.10;28;17;21;33
392.0;-43;48.2;29.1;0.23;17.01;4.07;4.08;4.11;4.10;4.04;4.04;4.08;4.10;4.09;4.10;4.02;4.02;8.11;28;17;21;33
393.0;-44;49.0;0.5;0.23;17.01;4.08;4.09;4.11;4.11;4.10;4.10;4.09;4.10;4.10;4.11;4.10;4.10;8.11;28;17;21;33
394.0;-38;49.1;0.5;0.23;17.01;4.08;4.09;4.12;4.11;4.11;4.11;4.09;4.10;4.10;4.11;4.10;4.10;8.11;28;17;21;33
395.0;-51;49.2;0.5;0.23;17.01;4.08;4.10;4.12;4.12;4.12;4.11;4.10;4.11;4.10;4.12;4.11;4.11;8.11;28;17;21;33
396.0;-44;49.2;0.5;0.23;17.01;4.09;4.10;4.12;4.12;4.12;4.12;4.10;4.11;4.11;4.12;4.11;4.11;8.11;28;17;21;33
397.0;-39;49.2;0.5;0.23;17.01;4.09;4.10;4.13;4.12;4.12;4.12;4.10;4.11;4.11;4.12;4.11;4.11;8.11;28;17;21;33
398.0;-40;49.3;0.5;0.23;17.01;4.09;4.10;4.13;4.12;4.13;4.12;4.11;4.11;4.11;4.12;4.11;4.12;8.11;28;17;21;33
399.0;-37;49.3;0.5;0.37;17.01;4.09;4.11;4.13;4.13;4.13;4.12;4.11;4.12;4.11;4.12;4.11;4.12;8.11;28;17;21;33
400.0;-30;49.3;3.2;0.37;17.01;4.09;4.10;4.12;4.12;4.12;4.12;4.10;4.11;4.11;4.12;4.10;4.11;8.11;29;17;21;35
401.0;-17;49.0;20.2;0.37;17.01;4.08;4.09;4.11;4.11;4.11;4.11;4.09;4.11;4.10;4.11;4.10;4.10;8.11;29;17;21;35
402.0;-28;49.0;20.2;0.37;18.94;4.05;4.07;4.09;4.09;4.08;4.08;4.06;4.08;4.07;4.08;4.06;4.07;8.11;29;17;21;35
403.0;-36;48.7;24.3;0.37;18.94;4.05;4.06;4.08;4.09;4.08;4.08;4.06;4.08;4.07;4.07;4.06;4.07;8.09;29;17;21;35
404.0;-30;48.7;24.3;0.37;18.94;4.05;4.06;4.08;4.08;4.07;4.07;4.06;4.07;4.06;4.07;4.06;4.06;8.09;29;17;21;35
405.0;-43;48.7;21.2;0.37;18.94;4.05;4.06;4.08;4.08;4.07;4.08;4.06;4.07;4.06;4.07;4.06;4.06;8.09;29;17;21;35
406.0;-39;48.8;11.3;0.37;18.94;4.06;4.07;4.09;4.09;4.07;4.07;4.07;4.08;4.08;4.08;4.05;4.06;8.09;29;17;21;35
407.0;-39;48.8;11.3;0.37;18.94;4.06;4.07;4.09;4.09;4.09;4.08;4.07;4.08;4.07;4.08;4.07;4.07;8.09;29;17;21;35
408.0;-36;48.8;17.6;0.37;18.94;4.05;4.06;4.09;4.08;4.07;4.09;4.06;4.08;4.07;4.08;4.06;4.07;8.09;29;17;21;35
409.0;-34;48.8;17.6;0.37;18.94;4.04;4.05;4.07;4.07;4.06;4.06;4.05;4.06;4.05;4.06;4.04;4.05;8.09;29;17;21;35
410.0;-38;48.4;29.5;0.37;18.94;4.03;4.04;4.06;4.06;4.06;4.05;4.04;4.05;4.04;4.05;4.04;4.04;8.09;29;17;21;35
411.0;-41;48.8;11.3;0.37;18.94;4.05;4.07;4.09;4.08;4.08;4.08;4.06;4.08;4.07;4.08;4.07;4.07;8.09;29;17;21;35
412.0;-39;48.8;11.3;0.43;18.94;4.07;4.08;4.10;4.10;4.09;4.08;4.08;4.09;4.08;4.09;4.08;4.09;8.09;29;17;21;35
413.0;-40;49.0;0.5;0.43;18.94;4.07;4.09;4.11;4.11;4.11;4.11;4.09;4.10;4.09;4.11;4.10;4.10;8.09;29;17;21;35
414.0;-37;49.1;0.5;0.43;18.94;4.08;4.09;4.11;4.11;4.11;4.10;4.09;4.10;4.10;4.11;4.10;4.10;8.11;29;17;21;35
415.0;-33;49.1;0.5;0.43;21.61;4.08;4.09;4.12;4.11;4.11;4.10;4.09;4.11;4.10;4.11;4.10;4.10;8.11;29;17;21;35
416.0;-29;49.1;0.5;0.43;21.61;4.08;4.09;4.12;4.11;4.11;4.12;4.10;4.11;4.10;4.11;4.10;4.11;8.11;29;17;21;35
417.0;-9;49.1;0.5;0.43;21.61;4.08;4.10;4.12;4.12;4.11;4.12;4.10;4.11;4.10;4.11;4.11;4.11;8.11;29;17;21;35
418.0;-33;49.2;3.0;0.43;21.61;4.08;4.10;4.12;4.11;4.12;4.11;4.10;4.11;4.10;4.11;4.11;4.11;8.11;29;17;21;35
419.0;-25;49.2;3.0;0.43;21.61;4.06;4.07;4.10;4.09;4.07;4.08;4.06;4.07;4.06;4.07;4.05;4.06;8.11;29;17;21;35
420.0;-27;48.6;14.4;0.43;21.61;4.03;4.04;4.06;4.06;4.09;4.09;4.04;4.06;4.04;4.05;4.08;4.08;8.11;29;17;21;35
421.0;-24;48.2;20.0;0.43;21.61;3.99;4.01;4.03;4.03;4.06;4.06;4.00;4.02;4.00;4.01;3.99;4.00;8.11;30;17;21;37
422.0;-27;48.2;20.0;0.43;21.61;4.01;4.03;4.04;4.05;4.04;4.04;4.02;4.04;4.03;4.04;4.02;4.03;8.11;30;17;21;37
423.0;-30;47.9;48.4;0.43;21.61;3.98;3.99;4.01;4.01;4.00;4.00;3.98;4.00;3.99;3.99;3.97;3.98;8.11;30;17;21;37
424.0;-35;47.9;39.9;0.43;21.61;3.99;4.00;4.02;4.02;4.05;4.05;4.03;4.05;4.04;4.05;4.03;4.04;8.11;30;17;21;37
425.0;-31;47.9;18.6;0.50;21.61;3.99;4.00;4.02;4.02;4.02;4.01;4.00;4.02;4.00;4.01;3.99;4.00;8.11;30;17;21;37
426.0;-36;47.5;76.6;0.50;21.61;3.99;4.00;4.02;4.02;4.02;4.01;4.00;4.02;4.00;4.01;3.99;4.00;8.04;30;17;21;37
427.0;-26;47.5;76.6;0.50;21.61;4.00;4.01;4.03;4.03;3.96;3.96;3.94;3.97;3.95;3.95;3.92;3.94;8.04;30;17;21;37
428.0;-30;47.7;44.4;0.50;26.88;3.95;3.97;3.98;3.98;4.03;4.02;4.01;4.02;4.01;4.02;4.01;4.01;8.04;30;17;21;37
429.0;-25;47.7;44.4;0.50;26.88;3.93;3.94;3.95;3.96;3.98;3.98;3.93;3.95;3.93;3.94;3.91;3.92;8.04;30;17;21;37
430.0;-24;47.3;36.5;0.50;26.88;3.99;4.00;4.02;4.01;4.01;4.01;3.99;4.01;4.00;4.01;3.99;4.00;8.04;30;17;21;37
431.0;-33;47.3;49.9;0.50;26.88;3.95;3.96;3.98;3.98;3.97;3.97;3.95;3.98;3.96;3.96;3.95;3.95;8.04;30;17;21;37
432.0;-41;47.3;49.9;0.50;26.88;3.97;3.99;4.01;4.00;3.97;3.97;3.95;3.97;3.96;3.97;3.94;3.95;8.04;30;17;21;37
433.0;-49;47.7;29.9;0.50;26.88;3.98;4.00;4.01;4.01;4.00;4.00;3.98;4.00;3.99;3.99;3.98;3.98;8.04;30;17;21;37
434.0;-48;47.9;26.5;0.50;26.88;3.99;4.00;4.02;4.01;4.01;4.01;3.99;4.01;4.00;4.01;3.99;3.99;8.04;30;17;21;37
435.0;-54;47.9;27.5;0.50;26.88;3.99;4.00;4.01;4.02;4.01;4.00;3.99;4.01;4.00;4.00;3.99;4.00;8.04;30;17;21;37
436.0;-43;47.2;53.8;0.50;26.88;3.94;3.96;3.97;3.97;3.96;3.96;3.95;3.97;3.95;3.96;3.94;3.94;8.04;30;17;21;37
437.0;-36;47.2;53.8;0.50;26.88;3.94;3.96;3.97;3.97;3.96;3.96;3.95;3.97;3.95;3.96;3.94;3.94;8.04;30;17;21;37
438.0;-41;47.2;16.3;0.67;26.88;3.98;3.99;4.01;4.01;3.96;3.96;3.99;4.00;3.99;4.00;3.99;3.99;8.04;30;17;21;37
